Id,saleprice
1461,111758.7862
1462,161850.7085
1463,167536.634
1464,187271.5388
1465,189127.6537
1466,169952.4875
1467,186466.6265
1468,160242.6458
1469,195553.4883
1470,111633.4834
1471,193346.2846
1472,106058.3161
1473,89976.89042
1474,142234.0491
1475,102817.6471
1476,352834.8854
1477,245530.9138
1478,301718.5982
1479,291514.3374
1480,440088.981
1481,286520.4271
1482,210498.8102
1483,180220.2513
1484,167765.2599
1485,193783.3249
1486,207718.6214
1487,291687.8696
1488,253363.8003
1489,190462.0611
1490,244861.0936
1491,214104.3283
1492,93430.42739
1493,193825.0185
1494,289347.9066
1495,268877.8428
1496,243879.7526
1497,166837.2795
1498,166533.3515
1499,152724.083
1500,156502.2674
1501,206167.4951
1502,151583.9919
1503,280457.1676
1504,240356.03
1505,225453.0321
1506,199532.4496
1507,245668.4978
1508,197471.1452
1509,151986.0375
1510,137241.8374
1511,153825.0652
1512,183645.7279
1513,149475.9608
1514,148305.9827
1515,213629.6863
1516,166849.9252
1517,168379.7608
1518,120308.825
1519,230395.5558
1520,128165.4839
1521,123822.9349
1522,195393.8893
1523,95460.15961
1524,122740.7746
1525,98840.94413
1526,89021.6678
1527,87480.43484
1528,148745.2014
1529,145563.081
1530,203062.3901
1531,139730.9524
1532,112991.9266
1533,172476.2129
1534,148419.131
1535,161479.9699
1536,110267.2895
1537,37490.06655
1538,159310.6838
1539,215865.5102
1540,113964.3998
1541,146130.4261
1542,146647.641
1543,192127.5495
1544,90845.4272
1545,100463.6266
1546,137491.8707
1547,150506.8594
1548,131936.0842
1549,111523.813
1550,134080.6495
1551,133590.0385
1552,140878.4359
1553,167775.9902
1554,118352.8543
1555,169128.2815
1556,104619.0775
1557,126623.9791
1558,113674.9398
1559,72819.33877
1560,139462.7339
1561,162367.5912
1562,133118.6586
1563,117135.156
1564,169001.2645
1565,133124.3988
1566,241897.449
1567,78760.56937
1568,231077.0784
1569,127012.3341
1570,132278.7085
1571,93719.01634
1572,141730.1201
1573,253076.5886
1574,111303.7651
1575,242669.4969
1576,252122.6748
1577,190606.2919
1578,151026.536
1579,125654.1901
1580,189463.5538
1581,159763.7359
1582,124261.6007
1583,292730.4422
1584,225592.3294
1585,154315.2531
1586,55598.1534
1587,93383.17703
1588,150706.0888
1589,100957.3612
1590,134783.9076
1591,80232.43495
1592,140558.7384
1593,131558.6373
1594,151812.6957
1595,112566.2004
1596,218540.8363
1597,164827.9663
1598,186492.1434
1599,186572.6654
1600,178481.1149
1601,35402.5808
1602,118347.6839
1603,55991.88399
1604,264254.1458
1605,245610.7408
1606,167216.7058
1607,166410.2652
1608,223187.3468
1609,195241.2162
1610,148943.382
1611,132987.9434
1612,187893.944
1613,164416.3474
1614,131794.731
1615,87767.17194
1616,61181.70285
1617,67861.50046
1618,110927.7177
1619,153058.3964
1620,147103.4224
1621,136401.3622
1622,150365.8704
1623,254270.0522
1624,217833.0365
1625,118257.4998
1626,182792.7641
1627,182652.7498
1628,279267.404
1629,165633.7157
1630,325144.962
1631,210562.7822
1632,225910.854
1633,177552.079
1634,186335.4263
1635,183295.4232
1636,153425.1614
1637,192847.539
1638,197126.8937
1639,179897.6322
1640,261095.8011
1641,178979.7119
1642,252017.5158
1643,223483.33
1644,225105.5311
1645,242382.6962
1646,165040.2043
1647,156189.5219
1648,136194.211
1649,141277.502
1650,100459.3824
1651,110753.1923
1652,103677.4683
1653,104065.3794
1654,143320.3621
1655,138476.9281
1656,133029.0227
1657,142488.5482
1658,146003.2594
1659,106393.005
1660,144945.4459
1661,422321.7889
1662,339550.8273
1663,368669.9321
1664,440497.2763
1665,320733.7174
1666,307390.8111
1667,339614.9389
1668,349137.9533
1669,306536.4176
1670,342473.216
1671,261976.0382
1672,389359.0654
1673,285750.5292
1674,251394.4547
1675,206786.2967
1676,209118.7132
1677,213732.2547
1678,423784.8575
1679,348116.5972
1680,318839.3904
1681,275623.7154
1682,293038.8064
1683,190970.9082
1684,189661.2362
1685,191586.7541
1686,172315.6799
1687,180504.7218
1688,205598.7312
1689,208136.5041
1690,211449.2317
1691,197734.1018
1692,257852.043
1693,180390.9556
1694,176293.478
1695,158459.2189
1696,267210.7732
1697,160171.9886
1698,316415.405
1699,324838.4378
1700,241861.3062
1701,268788.8062
1702,255421.2395
1703,247247.131
1704,282132.9458
1705,264287.9794
1706,390890.9917
1707,209997.9994
1708,209059.3075
1709,269468.1615
1710,229992.0411
1711,278238.2905
1712,256433.794
1713,275579.3106
1714,220603.4883
1715,210454.1642
1716,188833.7071
1717,187001.6697
1718,145670.8083
1719,220374.1604
1720,274273.6169
1721,181986.3942
1722,137506.0227
1723,163469.5434
1724,218556.588
1725,235169.0638
1726,196645.8916
1727,158535.5295
1728,195236.4166
1729,163978.2603
1730,165646.7217
1731,129066.7755
1732,125810
1733,106623.0857
1734,115644.0219
1735,148272.7334
1736,99804.38747
1737,302714.9108
1738,228261.8957
1739,263245.4645
1740,211922.843
1741,194586.8361
1742,183046.8389
1743,187879.9362
1744,320701.5685
1745,226928.9489
1746,194061.4008
1747,215706.0228
1748,221980.1742
1749,159211.1385
1750,133432.8962
1751,257284.4353
1752,108451.4056
1753,157124.5436
1754,199318.2974
1755,181802.1826
1756,133426.9349
1757,109054.8647
1758,147246.4759
1759,154965.0489
1760,162999.004
1761,161422.6692
1762,169938.6251
1763,181548.6586
1764,94831.93172
1765,191728.6625
1766,190769.9311
1767,235335.3185
1768,148243.1314
1769,173682.2641
1770,167143.8112
1771,98834.93437
1772,141853.4158
1773,117091.2896
